Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM,P Blk,year
Eagles,                    8.9                  ,                    29                  ,                    259                  ,                    0                  ,                    2                  ,                    1                  ,                    76                  ,                    20                  ,                    4                  ,                    1                  ,2017
Bills,                    8.9                  ,                    24                  ,                    213                  ,                    0                  ,                    2                  ,                    1                  ,                    40                  ,                    13                  ,                    2                  ,                    0                  ,2017
Cowboys,                    8.9                  ,                    31                  ,                    275                  ,                    1                  ,                    2                  ,                    1                  ,                    83T                  ,                    15                  ,                    1                  ,                    0                  ,2017
Bengals,                    8.7                  ,                    47                  ,                    409                  ,                    0                  ,                    6                  ,                    1                  ,                    40                  ,                    19                  ,                    6                  ,                    1                  ,2017
Broncos,                    8.6                  ,                    41                  ,                    351                  ,                    0                  ,                    5                  ,                    1                  ,                    44                  ,                    22                  ,                    8                  ,                    1                  ,2017
Titans,                    8.5                  ,                    36                  ,                    305                  ,                    0                  ,                    3                  ,                    1                  ,                    46                  ,                    9                  ,                    1                  ,                    0                  ,2017
Texans,                    8.5                  ,                    35                  ,                    296                  ,                    0                  ,                    4                  ,                    1                  ,                    49                  ,                    20                  ,                    3                  ,                    0                  ,2017
Patriots,                    8.2                  ,                    32                  ,                    263                  ,                    0                  ,                    3                  ,                    1                  ,                    40                  ,                    21                  ,                    1                  ,                    1                  ,2017
Panthers,                    8                  ,                    40                  ,                    318                  ,                    1                  ,                    2                  ,                    1                  ,                    60T                  ,                    17                  ,                    3                  ,                    0                  ,2017
Falcons,                    7.4                  ,                    27                  ,                    201                  ,                    0                  ,                    1                  ,                    0                  ,                    27                  ,                    21                  ,                    2                  ,                    0                  ,2017
Dolphins,                    7.3                  ,                    37                  ,                    271                  ,                    0                  ,                    2                  ,                    0                  ,                    27                  ,                    14                  ,                    1                  ,                    1                  ,2017
Cardinals,                    7                  ,                    41                  ,                    288                  ,                    0                  ,                    1                  ,                    0                  ,                    20                  ,                    30                  ,                    0                  ,                    0                  ,2017
Steelers,                    6.9                  ,                    30                  ,                    207                  ,                    0                  ,                    2                  ,                    0                  ,                    27                  ,                    20                  ,                    2                  ,                    1                  ,2017
Seahawks,                    6.6                  ,                    36                  ,                    237                  ,                    0                  ,                    2                  ,                    0                  ,                    27                  ,                    21                  ,                    0                  ,                    0                  ,2017
Saints,                    6.4                  ,                    34                  ,                    218                  ,                    0                  ,                    1                  ,                    0                  ,                    24                  ,                    23                  ,                    4                  ,                    1                  ,2017
Chiefs,                    6.3                  ,                    35                  ,                    220                  ,                    1                  ,                    3                  ,                    1                  ,                    82T                  ,                    10                  ,                    4                  ,                    0                  ,2017
Redskins,                    6.1                  ,                    29                  ,                    178                  ,                    0                  ,                    1                  ,                    0                  ,                    29                  ,                    22                  ,                    5                  ,                    0                  ,2017
Colts,                    6                  ,                    27                  ,                    162                  ,                    0                  ,                    2                  ,                    0                  ,                    30                  ,                    13                  ,                    1                  ,                    1                  ,2017
Browns,                    5.8                  ,                    38                  ,                    221                  ,                    0                  ,                    1                  ,                    0                  ,                    25                  ,                    19                  ,                    7                  ,                    0                  ,2017
Raiders,                    5.7                  ,                    27                  ,                    155                  ,                    0                  ,                    0                  ,                    0                  ,                    19                  ,                    21                  ,                    7                  ,                    0                  ,2017
Giants,                    5.5                  ,                    27                  ,                    148                  ,                    0                  ,                    1                  ,                    0                  ,                    20                  ,                    23                  ,                    2                  ,                    0                  ,2017
Jets,                    4.5                  ,                    38                  ,                    171                  ,                    0                  ,                    1                  ,                    0                  ,                    25                  ,                    22                  ,                    6                  ,                    0                  ,2017
Jets,                    13                  ,                    25                  ,                    324                  ,                    1                  ,                    3                  ,                    3                  ,                    78T                  ,                    28                  ,                    3                  ,                    1                  ,2018
Bears,                    12.4                  ,                    33                  ,                    411                  ,                    0                  ,                    7                  ,                    2                  ,                    44                  ,                    21                  ,                    4                  ,                    0                  ,2018
Chiefs,                    11.9                  ,                    22                  ,                    261                  ,                    1                  ,                    3                  ,                    2                  ,                    91T                  ,                    3                  ,                    1                  ,                    1                  ,2018
Raiders,                    11.6                  ,                    25                  ,                    291                  ,                    1                  ,                    2                  ,                    2                  ,                    99T                  ,                    19                  ,                    2                  ,                    0                  ,2018
Ravens,                    11.5                  ,                    35                  ,                    404                  ,                    1                  ,                    5                  ,                    3                  ,                    70T                  ,                    29                  ,                    4                  ,                    0                  ,2018
Vikings,                    10.9                  ,                    29                  ,                    315                  ,                    0                  ,                    6                  ,                    1                  ,                    70                  ,                    21                  ,                    1                  ,                    0                  ,2018
Bengals,                    10.7                  ,                    22                  ,                    236                  ,                    0                  ,                    3                  ,                    0                  ,                    38                  ,                    21                  ,                    2                  ,                    1                  ,2018
Chargers,                    10.5                  ,                    34                  ,                    358                  ,                    1                  ,                    6                  ,                    2                  ,                    73T                  ,                    15                  ,                    4                  ,                    0                  ,2018
Dolphins,                    10.5                  ,                    28                  ,                    293                  ,                    1                  ,                    3                  ,                    1                  ,                    71T                  ,                    16                  ,                    4                  ,                    1                  ,2018
Rams,                    10.2                  ,                    30                  ,                    307                  ,                    0                  ,                    4                  ,                    1                  ,                    60                  ,                    15                  ,                    2                  ,                    2                  ,2018
Jaguars,                    9.8                  ,                    34                  ,                    334                  ,                    1                  ,                    6                  ,                    2                  ,                    74T                  ,                    16                  ,                    2                  ,                    0                  ,2018
Browns,                    9.1                  ,                    32                  ,                    290                  ,                    0                  ,                    3                  ,                    0                  ,                    37                  ,                    24                  ,                    2                  ,                    0                  ,2018
Colts,                    9                  ,                    24                  ,                    217                  ,                    0                  ,                    3                  ,                    1                  ,                    51                  ,                    28                  ,                    1                  ,                    0                  ,2018
Titans,                    8.8                  ,                    27                  ,                    237                  ,                    0                  ,                    2                  ,                    0                  ,                    38                  ,                    11                  ,                    4                  ,                    0                  ,2018
Texans,                    8.6                  ,                    38                  ,                    327                  ,                    0                  ,                    3                  ,                    0                  ,                    30                  ,                    16                  ,                    3                  ,                    1                  ,2018
Cardinals,                    8.2                  ,                    36                  ,                    295                  ,                    0                  ,                    3                  ,                    2                  ,                    45                  ,                    21                  ,                    1                  ,                    1                  ,2018
Steelers,                    8.1                  ,                    31                  ,                    252                  ,                    0                  ,                    3                  ,                    0                  ,                    23                  ,                    26                  ,                    3                  ,                    1                  ,2018
Patriots,                    7.6                  ,                    26                  ,                    199                  ,                    0                  ,                    3                  ,                    0                  ,                    25                  ,                    15                  ,                    2                  ,                    2                  ,2018
Falcons,                    7                  ,                    21                  ,                    147                  ,                    0                  ,                    0                  ,                    0                  ,                    18                  ,                    24                  ,                    1                  ,                    1                  ,2018
Panthers,                    6.9                  ,                    24                  ,                    165                  ,                    0                  ,                    1                  ,                    0                  ,                    30                  ,                    16                  ,                    2                  ,                    0                  ,2018
Bills,                    6.7                  ,                    31                  ,                    207                  ,                    0                  ,                    2                  ,                    0                  ,                    31                  ,                    17                  ,                    4                  ,                    0                  ,2018
Packers,                    6.6                  ,                    30                  ,                    198                  ,                    0                  ,                    2                  ,                    0                  ,                    24                  ,                    19                  ,                    8                  ,                    1                  ,2018
Eagles,                    6.6                  ,                    33                  ,                    216                  ,                    0                  ,                    2                  ,                    1                  ,                    42                  ,                    11                  ,                    5                  ,                    0                  ,2018
Saints,                    6.5                  ,                    24                  ,                    157                  ,                    0                  ,                    0                  ,                    0                  ,                    17                  ,                    18                  ,                    2                  ,                    2                  ,2018
Redskins,                    6.5                  ,                    17                  ,                    110                  ,                    0                  ,                    1                  ,                    0                  ,                    30                  ,                    23                  ,                    2                  ,                    0                  ,2018
Lions,                    6.3                  ,                    27                  ,                    171                  ,                    0                  ,                    1                  ,                    0                  ,                    25                  ,                    20                  ,                    2                  ,                    0                  ,2018
Buccaneers,                    6.3                  ,                    26                  ,                    163                  ,                    0                  ,                    0                  ,                    0                  ,                    16                  ,                    15                  ,                    2                  ,                    0                  ,2018
Giants,                    6.2                  ,                    37                  ,                    231                  ,                    0                  ,                    2                  ,                    0                  ,                    23                  ,                    13                  ,                    4                  ,                    0                  ,2018
49ers,                    5.8                  ,                    31                  ,                    180                  ,                    0                  ,                    1                  ,                    0                  ,                    23                  ,                    18                  ,                    5                  ,                    0                  ,2018
Seahawks,                    5.7                  ,                    25                  ,                    143                  ,                    0                  ,                    0                  ,                    0                  ,                    19                  ,                    20                  ,                    1                  ,                    0                  ,2018
Cowboys,                    5.7                  ,                    21                  ,                    119                  ,                    0                  ,                    1                  ,                    0                  ,                    22                  ,                    25                  ,                    0                  ,                    0                  ,2018
Broncos,                    4.4                  ,                    30                  ,                    132                  ,                    0                  ,                    1                  ,                    0                  ,                    20                  ,                    17                  ,                    0                  ,                    1                  ,2018
Colts,                    17.4                  ,                    24                  ,                    418                  ,                    2                  ,                    5                  ,                    3                  ,                    84T                  ,                    21                  ,                    2                  ,                    0                  ,2019
Jets,                    11.4                  ,                    21                  ,                    240                  ,                    0                  ,                    3                  ,                    0                  ,                    26                  ,                    32                  ,                    1                  ,                    1                  ,2019
Steelers,                    9.8                  ,                    29                  ,                    285                  ,                    1                  ,                    1                  ,                    1                  ,                    85T                  ,                    19                  ,                    2                  ,                    0                  ,2019
Giants,                    9.8                  ,                    28                  ,                    274                  ,                    0                  ,                    2                  ,                    2                  ,                    60                  ,                    14                  ,                    3                  ,                    1                  ,2019
Texans,                    9.7                  ,                    22                  ,                    214                  ,                    0                  ,                    1                  ,                    0                  ,                    23                  ,                    18                  ,                    2                  ,                    0                  ,2019
Saints,                    9.2                  ,                    40                  ,                    368                  ,                    1                  ,                    5                  ,                    1                  ,                    53T                  ,                    12                  ,                    3                  ,                    1                  ,2019
Bears,                    9.2                  ,                    33                  ,                    302                  ,                    0                  ,                    3                  ,                    1                  ,                    71                  ,                    19                  ,                    2                  ,                    0                  ,2019
Ravens,                    8.2                  ,                    25                  ,                    206                  ,                    0                  ,                    2                  ,                    0                  ,                    25                  ,                    17                  ,                    2                  ,                    0                  ,2019
Patriots,                    8                  ,                    29                  ,                    233                  ,                    0                  ,                    2                  ,                    0                  ,                    22                  ,                    26                  ,                    1                  ,                    4                  ,2019
49ers,                    8                  ,                    33                  ,                    264                  ,                    0                  ,                    1                  ,                    0                  ,                    32                  ,                    11                  ,                    0                  ,                    0                  ,2019
Lions,                    7.9                  ,                    31                  ,                    246                  ,                    1                  ,                    3                  ,                    1                  ,                    64T                  ,                    22                  ,                    1                  ,                    0                  ,2019
Broncos,                    7.7                  ,                    27                  ,                    208                  ,                    0                  ,                    2                  ,                    1                  ,                    42                  ,                    29                  ,                    2                  ,                    0                  ,2019
Titans,                    7.7                  ,                    22                  ,                    169                  ,                    0                  ,                    1                  ,                    0                  ,                    21                  ,                    30                  ,                    2                  ,                    0                  ,2019
Bills,                    7.6                  ,                    32                  ,                    243                  ,                    0                  ,                    1                  ,                    0                  ,                    22                  ,                    21                  ,                    1                  ,                    0                  ,2019
Falcons,                    7.1                  ,                    37                  ,                    263                  ,                    1                  ,                    2                  ,                    1                  ,                    78T                  ,                    1                  ,                    5                  ,                    0                  ,2019
Browns,                    7.1                  ,                    23                  ,                    163                  ,                    0                  ,                    0                  ,                    0                  ,                    18                  ,                    15                  ,                    3                  ,                    0                  ,2019
Raiders,                    7                  ,                    27                  ,                    190                  ,                    0                  ,                    1                  ,                    0                  ,                    32                  ,                    22                  ,                    2                  ,                    0                  ,2019
Cardinals,                    7                  ,                    24                  ,                    168                  ,                    0                  ,                    2                  ,                    0                  ,                    29                  ,                    20                  ,                    0                  ,                    0                  ,2019
Chiefs,                    6.9                  ,                    32                  ,                    222                  ,                    0                  ,                    2                  ,                    0                  ,                    36                  ,                    7                  ,                    2                  ,                    0                  ,2019
Panthers,                    6.8                  ,                    25                  ,                    171                  ,                    0                  ,                    1                  ,                    0                  ,                    39                  ,                    16                  ,                    5                  ,                    1                  ,2019
Vikings,                    6.8                  ,                    28                  ,                    191                  ,                    0                  ,                    1                  ,                    0                  ,                    23                  ,                    18                  ,                    6                  ,                    1                  ,2019
Dolphins,                    6.6                  ,                    27                  ,                    177                  ,                    0                  ,                    1                  ,                    0                  ,                    21                  ,                    13                  ,                    4                  ,                    0                  ,2019
Rams,                    6.3                  ,                    27                  ,                    170                  ,                    0                  ,                    2                  ,                    0                  ,                    35                  ,                    26                  ,                    1                  ,                    0                  ,2019
Seahawks,                    6.1                  ,                    23                  ,                    141                  ,                    0                  ,                    1                  ,                    0                  ,                    20                  ,                    20                  ,                    1                  ,                    1                  ,2019
Eagles,                    5.9                  ,                    27                  ,                    160                  ,                    0                  ,                    0                  ,                    0                  ,                    17                  ,                    23                  ,                    3                  ,                    0                  ,2019
Cowboys,                    5.7                  ,                    23                  ,                    131                  ,                    0                  ,                    0                  ,                    0                  ,                    15                  ,                    20                  ,                    0                  ,                    0                  ,2019
Bengals,                    5.7                  ,                    29                  ,                    164                  ,                    0                  ,                    0                  ,                    0                  ,                    17                  ,                    17                  ,                    3                  ,                    0                  ,2019
Chargers,                    5.4                  ,                    22                  ,                    118                  ,                    1                  ,                    1                  ,                    1                  ,                    68T                  ,                    17                  ,                    5                  ,                    0                  ,2019
Buccaneers,                    5.2                  ,                    33                  ,                    172                  ,                    0                  ,                    1                  ,                    1                  ,                    40                  ,                    17                  ,                    4                  ,                    0                  ,2019
Jaguars,                    5                  ,                    31                  ,                    154                  ,                    0                  ,                    2                  ,                    1                  ,                    43                  ,                    18                  ,                    2                  ,                    0                  ,2019
Packers,                    4.9                  ,                    20                  ,                    98                  ,                    0                  ,                    0                  ,                    0                  ,                    18                  ,                    31                  ,                    3                  ,                    0                  ,2019
Redskins,                    4.7                  ,                    22                  ,                    104                  ,                    0                  ,                    0                  ,                    0                  ,                    15                  ,                    13                  ,                    0                  ,                    1                  ,2019
Patriots,                    15.5                  ,                    23                  ,                    357                  ,                    1                  ,                    4                  ,                    3                  ,                    70T                  ,                    16                  ,                    1                  ,                    0                  ,2020
Broncos,                    13.4                  ,                    20                  ,                    267                  ,                    1                  ,                    3                  ,                    2                  ,                    83T                  ,                    25                  ,                    3                  ,                    0                  ,2020
Lions,                    12.8                  ,                    17                  ,                    217                  ,                    1                  ,                    2                  ,                    1                  ,                    74T                  ,                    17                  ,                    2                  ,                    3                  ,2020
Bills,                    11.9                  ,                    31                  ,                    370                  ,                    1                  ,                    5                  ,                    1                  ,                    84T                  ,                    13                  ,                    2                  ,                    0                  ,2020
Raiders,                    11.5                  ,                    23                  ,                    265                  ,                    0                  ,                    3                  ,                    0                  ,                    32                  ,                    10                  ,                    1                  ,                    0                  ,2020
Giants,                    11.4                  ,                    20                  ,                    228                  ,                    0                  ,                    3                  ,                    0                  ,                    20                  ,                    16                  ,                    0                  ,                    0                  ,2020
Jaguars,                    11.4                  ,                    18                  ,                    205                  ,                    1                  ,                    1                  ,                    1                  ,                    91T                  ,                    12                  ,                    1                  ,                    1                  ,2020
Dolphins,                    11.1                  ,                    32                  ,                    354                  ,                    1                  ,                    3                  ,                    1                  ,                    88T                  ,                    9                  ,                    3                  ,                    1                  ,2020
Saints,                    10.2                  ,                    39                  ,                    399                  ,                    0                  ,                    2                  ,                    1                  ,                    42                  ,                    18                  ,                    2                  ,                    0                  ,2020
Bengals,                    10.1                  ,                    23                  ,                    232                  ,                    0                  ,                    3                  ,                    0                  ,                    29                  ,                    20                  ,                    1                  ,                    0                  ,2020
Colts,                    10.1                  ,                    31                  ,                    312                  ,                    0                  ,                    3                  ,                    0                  ,                    26                  ,                    15                  ,                    0                  ,                    1                  ,2020
Steelers,                    9.6                  ,                    37                  ,                    356                  ,                    0                  ,                    2                  ,                    2                  ,                    57                  ,                    22                  ,                    3                  ,                    0                  ,2020
Cowboys,                    9.1                  ,                    29                  ,                    265                  ,                    0                  ,                    4                  ,                    1                  ,                    73                  ,                    14                  ,                    1                  ,                    0                  ,2020
Ravens,                    9                  ,                    27                  ,                    244                  ,                    0                  ,                    1                  ,                    0                  ,                    20                  ,                    18                  ,                    0                  ,                    0                  ,2020
Titans,                    9                  ,                    23                  ,                    208                  ,                    0                  ,                    2                  ,                    1                  ,                    40                  ,                    12                  ,                    0                  ,                    0                  ,2020
49ers,                    9                  ,                    25                  ,                    226                  ,                    0                  ,                    2                  ,                    0                  ,                    21                  ,                    26                  ,                    3                  ,                    0                  ,2020
Falcons,                    8.9                  ,                    17                  ,                    152                  ,                    0                  ,                    2                  ,                    0                  ,                    24                  ,                    23                  ,                    0                  ,                    0                  ,2020
Eagles,                    8.8                  ,                    26                  ,                    230                  ,                    1                  ,                    2                  ,                    1                  ,                    73T                  ,                    27                  ,                    3                  ,                    0                  ,2020
Jets,                    8.6                  ,                    10                  ,                    86                  ,                    0                  ,                    0                  ,                    0                  ,                    18                  ,                    29                  ,                    0                  ,                    2                  ,2020
Seahawks,                    8.6                  ,                    22                  ,                    189                  ,                    0                  ,                    1                  ,                    0                  ,                    20                  ,                    22                  ,                    2                  ,                    1                  ,2020
Texans,                    7.9                  ,                    20                  ,                    158                  ,                    0                  ,                    0                  ,                    0                  ,                    19                  ,                    11                  ,                    2                  ,                    1                  ,2020
Bears,                    7.6                  ,                    25                  ,                    190                  ,                    0                  ,                    1                  ,                    0                  ,                    32                  ,                    14                  ,                    3                  ,                    0                  ,2020
